"","stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"414","Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"415","Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"416","Architecture Validation","Do you regularly review the security mechanisms of your architecture?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"417","Architecture Validation","Do you regularly review the effectiveness of the security controls?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"418","Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"419","Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"420","Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"421","Control Verification","Do you test applications for the correct functioning of standard security controls?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"422","Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"423","Control Verification","Do you automatically test applications for security regressions?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"424","Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"425","Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"426","Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"427","Scalable Baseline","Do you scan applications with automated security testing tools?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"428","Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"429","Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"430","Deep Understanding","Do you manually review the security quality of selected high-risk components?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"431","Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"432","Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"433","Incident Detection","Do you analyze log data for security incidents periodically?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"434","Incident Detection","Do you follow a documented process for incident detection?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"435","Incident Detection","Do you review and update the incident detection process regularly?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"436","Incident Response","Do you respond to detected incidents?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"437","Incident Response","Do you use a repeatable process for incident handling?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"438","Incident Response","Do you have a dedicated incident response team available?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"439","Configuration Hardening","Do you harden configurations for key components of your technology stacks?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"440","Configuration Hardening","Do you have hardening baselines for your components?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"441","Configuration Hardening","Do you monitor and enforce conformity with hardening baselines?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"442","Patching and Updating","Do you identify and patch vulnerable components?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"443","Patching and Updating","Do you follow an established process for updating components of your technology stacks?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"444","Patching and Updating","Do you regularly evaluate components and review patch level status?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"445","Data Protection","Do you protect and handle information according to protection requirements for data stored and processed on each application?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"446","Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"447","Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","NO ANSWER",0,0,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"448","System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"449","System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"450","System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","NO ANSWER",0,NA,NA,0,NA,NA,"7d7c305adc0bbcc6a8e9e1e4d0884fdc","operations",0
"451","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","No",0,0,"Do not undersant what risk appertite is. In COMPANY and EWP we do have high focus on securtiy with both corprate and organisation processes.",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"452","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","No",0,0,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"453","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","No",0,0,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"454","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,"I do not know if this is done within the security team.",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"455","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,"I am not aware of KPIs",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"456","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"Wedo have security assesments for PA-DSS, etc. but do not know about KPIs and review of these might be in security team",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"457","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,"We have security design rules and organization was resently assesed on process for e.g. ISO 9001",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"458","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"459","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,"Not part of SWT resp.",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"460","Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"461","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"I do not know what test that are done for compliance",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"462","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,"SWT do not report this",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"463","Training and Awareness","Do you require employees involved with application development to take SDLC training?","NO ANSWER",0,0,"I do not know how the security training is followed up and if it is done on 12 months bases.",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"464","Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","NO ANSWER",0,0.5,"I cannot anser for other roles, we have had traing for SWT.",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"465","Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","NO ANSWER",0,0.5,"Maybe line can naswer this. SWT have not done this learning managemnt.",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"466","Organization and Culture","Have you identified a Security Champion for each development team?","NO ANSWER",0,NA,"The process state that we shal lhave security masters, but I can not answer if this is assigned and how the training is followed up.",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"467","Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","Yes, for the entire organization",1,NA,"I would say yes. All requirments whne started have security representative in the Initiative analysis. There is also a risk assessment before F3.",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"468","Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","Yes, for the entire organization",1,NA,"There are processes for e.g. vulnerability notifications to applications.",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"469","Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","Yes, most or all of them",1,1,"I think all are classifed e.g. towrds GDPS.There is a standard clasification that is used in risk assesments.",1.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"470","Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","Yes, for most or all of the applications",1,0.5,NA,1.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"471","Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,"I do not know",1.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"472","Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","Yes, most or all of them",1,NA,"I think this is part of the risk assesment.",1.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"473","Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","NO ANSWER",0,NA,NA,1.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"474","Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,"I do not know not in SWT.",1.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"475","Software Requirements","Do project teams specify security requirements during development?","NO ANSWER",0,0,"We take the security design guide lines in account when defiing scope of new and updated requirment.",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"476","Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","NO ANSWER",0,0,"Do not know how to answer. Security is not a separate requirment.",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"477","Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,"Do not know",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"478","Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,"I do not know details about sourcing process.",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"479","Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,"I do not know who e.g. Oracle was validated and how they meet with this validation",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"480","Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,"I do not know",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"481","Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,0.5,"We do have security controles in the process and it is docuemnted in jira / confluence a part of F process.",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"482","Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0,"Can not answer how the DT works",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"483","Architecture Design","Do you base your design on available reference architectures?","NO ANSWER",0,0,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"484","Technology Management","Do you evaluate the security quality of important technologies used for development?","NO ANSWER",0,NA,"Do not understnad the question.",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"485","Technology Management","Do you have a list of recommended technologies for the organization?","NO ANSWER",0,NA,"We have a process for introducing new 3PPs.",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"486","Technology Management","Do you enforce the use of recommended technologies within the organization?","NO ANSWER",0,NA,"Not sure about technoloty, but we have for infroducing 3PPs.",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"487","Build Process","Is your full build process formally described?","NO ANSWER",0,0.5,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"488","Build Process","Is the build process fully automated?","NO ANSWER",0,0,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"489","Build Process","Do you enforce automated security checks in your build processes?","NO ANSWER",0,0,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"490","Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","Yes, for most or all of the applications",1,NA,"Yes and we are improving the 3pp scan to improve the verification of what is included in the deliverable.",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"491","Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","NO ANSWER",0,NA,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"492","Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","NO ANSWER",0,NA,NA,0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"493","Deployment Process","Do you use repeatable deployment processes?","NO ANSWER",0,0,NA,0.625,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"494","Deployment Process","Are deployment processes automated and employing security checks?","NO ANSWER",0,0.5,NA,0.625,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"495","Deployment Process","Do you consistently validate the integrity of deployed artifacts?","NO ANSWER",0,0.125,NA,0.625,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"496","Secret Management","Do you limit access to application secrets according to the least privilege principle?","NO ANSWER",0,NA,NA,0.625,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"497","Secret Management","Do you inject production secrets into configuration files during deployment?","Yes, for most or all of the applications",1,NA,"WE do not have secret in source code",0.625,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"498","Secret Management","Do you practice proper lifecycle management for application secrets?","Yes, for some applications",0.25,NA,"It is configurabel in most cases.",0.625,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"499","Defect Tracking","Do you track all known security defects in accessible locations?","NO ANSWER",0,0,"I do not know how this is tracked",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"500","Defect Tracking","Do you keep an overview of the state of security defects across the organization?","NO ANSWER",0,0,"For 3pp ulnerabilites we do.",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"501","Defect Tracking","Do you enforce SLAs for fixing security defects?","Yes, for most or all of the applications",1,0.5,"We have SLA with customers for ulnerability",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"502","Metrics and Feedback","Do you use basic metrics about recorded security defects to carry out quick win improvement activities?","NO ANSWER",0,NA,"We do not do this in SWT",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"503","Metrics and Feedback","Do you improve your security assurance program upon standardized metrics?","NO ANSWER",0,NA,"Not in SWT",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"504","Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","NO ANSWER",0,NA,"Not as part of SWT",0.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"505","Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","NO ANSWER",0,0,"Not as part of SWT, we are not doing ad-hoc review.",0.125,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"506","Architecture Validation","Do you regularly review the security mechanisms of your architecture?","Yes, for some applications",0.25,0.125,"We have PA-DSS assessment and process for each requirement",0.125,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"507","Architecture Validation","Do you regularly review the effectiveness of the security controls?","NO ANSWER",0,0,"I do not know",0.125,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"508","Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","NO ANSWER",0,NA,"I am not awer of ad-hoc review",0.125,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"509","Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","NO ANSWER",0,NA,"We have PA-DSS assessment and process for each requirement",0.125,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"510","Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","NO ANSWER",0,NA,"Yes, finding fomr e.g. PA-DSS would be mitigated.",0.125,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"511","Control Verification","Do you test applications for the correct functioning of standard security controls?","NO ANSWER",0,0,"Can not answer on specific test cases",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"512","Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","NO ANSWER",0,0,"Not part of SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"513","Control Verification","Do you automatically test applications for security regressions?","NO ANSWER",0,0,"Yes, but I can not answer on specific test cases as part of SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"514","Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","NO ANSWER",0,NA,"Question for design",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"515","Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","NO ANSWER",0,NA,"Not in SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"516","Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","NO ANSWER",0,NA,"Not in SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"517","Scalable Baseline","Do you scan applications with automated security testing tools?","NO ANSWER",0,0,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"518","Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","NO ANSWER",0,0,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"519","Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","NO ANSWER",0,0,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"520","Deep Understanding","Do you manually review the security quality of selected high-risk components?","NO ANSWER",0,NA,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"521","Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","NO ANSWER",0,NA,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"522","Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","NO ANSWER",0,NA,NA,0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"523","Incident Detection","Do you analyze log data for security incidents periodically?","NO ANSWER",0,0,"Not in SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"524","Incident Detection","Do you follow a documented process for incident detection?","NO ANSWER",0,0,"Not in SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"525","Incident Detection","Do you review and update the incident detection process regularly?","NO ANSWER",0,0,"Not in SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"526","Incident Response","Do you respond to detected incidents?","NO ANSWER",0,NA,"Not in SWT",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"527","Incident Response","Do you use a repeatable process for incident handling?","NO ANSWER",0,NA,"Cannot answer on specific process",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"528","Incident Response","Do you have a dedicated incident response team available?","NO ANSWER",0,NA,"Not part of SWT responsibility",0,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"529","Configuration Hardening","Do you harden configurations for key components of your technology stacks?","NO ANSWER",0,0,"What is a key component in this regards?",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"530","Configuration Hardening","Do you have hardening baselines for your components?","NO ANSWER",0,0.5,NA,1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"531","Configuration Hardening","Do you monitor and enforce conformity with hardening baselines?","NO ANSWER",0,0.5,NA,1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"532","Patching and Updating","Do you identify and patch vulnerable components?","NO ANSWER",0,NA,"We do patch all 3pp sw for vulnerabilities",1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"533","Patching and Updating","Do you follow an established process for updating components of your technology stacks?","Yes, for most or all of the components",1,NA,NA,1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"534","Patching and Updating","Do you regularly evaluate components and review patch level status?","Yes, for most or all of the components",1,NA,NA,1,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"535","Data Protection","Do you protect and handle information according to protection requirements for data stored and processed on each application?","Yes, for most or all of the applications",1,0.5,NA,2.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"536","Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","Yes, for most or all of our data",1,1,NA,2.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"537","Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","Yes, we do it at least annually",1,1,NA,2.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"538","System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","No",0,NA,"We have some open source that are not maintained.",2.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"539","System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","Yes, most or all of the time",1,NA,NA,2.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"540","System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","Yes, for most or all of the assets",1,NA,NA,2.5,NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"541","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","No",0,0,"I do not understand the question.",0,"difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"542","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0,"I assume or actually believe there is one but I do not know where it is and I have not seen it. Hard to answer since I am not involved in any strategy work in security area.",0,"difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"543","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"I assume or actually believe there is one but I do not know where it is and I have not seen it. Hard to answer since I am not involved in any strategy work in security area.",0,"difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"544","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,"I do not know.",0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"545","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,"I do not know.",0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"546","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"I do not know.",0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"547","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","NO ANSWER",0,0,"I do not know.",0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"548","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,"I do not know.",0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"549","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,"I do not know.",0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"550","Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,NA,0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"551","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"I do not know.",0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"552","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","No",0,NA,NA,0,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"553","Training and Awareness","Do you require employees involved with application development to take SDLC training?","NO ANSWER",0,0.5,"I do not know what SDLC training is. If it is security, then yes, we do.",0.5,"difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"554","Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","NO ANSWER",0,0,"If this means security training, yes.",0.5,"difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"555","Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","NO ANSWER",0,0,"I do not know.",0.5,"difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"556","Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,0.5,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"557","Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","NO ANSWER",0,NA,"I do not know.",0.5,"easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
